availability_365,availability_30,availability_60,availability_90
0,0,0,0
309,14,37,54
173,8,32,54
341,12,36,66
267,12,36,49
308,11,28,46
254,3,27,35
171,21,51,81
24,18,18,24
68,12,42,68
338,9,39,68
317,11,12,42
159,13,39,69
364,29,59,89
365,30,60,90
277,3,3,3
145,0,25,55
30,0,0,0
79,19,49,79
332,0,27,57
341,15,40,70
35,0,5,35
363,28,58,88
81,21,51,81
350,15,45,75
327,4,22,52
75,21,48,75
154,7,34,64
322,16,32,59
2,2,2,2
1,1,1,1
336,6,31,61
42,2,13,13
283,10,28,44
356,24,51,81
339,5,34,64
63,2,2,2
174,3,9,24
254,6,23,42
184,16,28,28
309,3,4,34
361,26,56,86
5,5,5,5
332,2,27,57
336,15,41,69
31,9,31,31
337,15,32,62
81,4,4,14
87,0,0,0
82,22,52,82
73,19,43,73
51,16,31,51
296,4,5,21
327,7,27,57
126,8,21,37
115,14,33,58
13,6,13,13
62,14,33,62
40,7,23,40
42,7,22,42
8,0,5,8
360,25,55,85
89,29,59,89
353,20,50,80
327,30,54,54
344,9,39,69
305,2,32,62
281,0,0,6
56,5,26,56
307,0,2,32
206,0,9,9
173,23,53,83
8,8,8,8
275,6,19,34
78,18,48,78
47,0,5,5
362,27,57,87
47,18,47,47
328,25,35,65
11,2,2,11
274,0,0,0
30,0,8,29
342,11,37,67
325,19,38,68
347,12,42,72
158,7,7,7
180,30,60,90
90,30,60,90
34,0,4,34
334,0,29,59
204,19,19,19
361,30,56,86
275,12,26,38
153,0,0,0
85,25,55,85
61,0,0,0
22,21,22,22
328,0,23,53
336,10,35,61
52,1,9,16
246,0,0,1
140,9,35,61
69,11,39,69
331,6,26,56
72,12,42,72
335,13,36,63
31,30,31,31
335,3,30,60
195,11,11,11
338,3,33,63
60,0,0,0
259,4,5,9
62,15,32,62
75,15,45,75
334,17,47,74
51,0,21,51
62,17,30,60
150,15,35,59
351,16,46,76
328,14,33,63
83,23,53,83
80,22,50,80
32,6,20,32
50,21,50,50
343,15,41,68
133,5,13,43
4,4,4,4
31,0,0,0
12,10,11,12
319,16,27,52
11,2,2,9
7,0,0,7
87,27,57,87
355,20,50,80
70,4,8,16
26,0,8,26
88,28,58,88
47,8,8,32
357,22,52,82
28,28,28,28
77,0,29,59
26,14,26,26
4,0,4,4
255,0,13,13
69,18,44,69
120,0,0,0
335,0,30,60
11,11,11,11
302,0,0,27
128,9,26,51
107,18,48,78
327,2,31,52
318,15,45,75
351,20,50,80
358,23,53,83
207,2,13,22
292,0,0,17
28,7,12,12
300,0,1,31
216,3,7,11
129,14,26,39
3,3,3,3
319,9,28,48
254,19,26,56
330,0,25,55
246,0,0,0
349,14,44,74
88,26,56,86
329,15,24,54
7,7,7,7
51,8,16,37
166,9,25,47
339,14,34,64
119,3,17,38
54,0,24,54
345,15,40,70
306,4,27,39
253,7,20,32
303,6,15,28
211,0,0,0
336,1,31,61
31,4,4,31
352,17,47,77
353,18,48,78
298,0,0,30
324,25,43,65
158,15,40,70
111,0,11,11
151,15,45,69
283,9,9,9
154,1,4,21
339,17,47,77
340,13,43,70
346,17,47,74
185,0,0,0
159,10,40,70
74,0,0,0
270,26,26,26
70,11,41,70
342,18,37,67
33,3,33,33
83,29,54,83
76,0,0,0
33,0,6,20
179,30,60,90
341,20,43,73
333,15,36,66
216,22,22,22
297,1,26,56
60,4,31,60
220,4,5,9
20,0,0,0
27,10,27,27
348,17,43,73
86,27,57,86
342,7,37,67
39,0,0,0
342,24,41,67
205,2,12,18
326,11,38,64
355,22,52,82
59,0,30,59
44,0,15,44
315,30,59,59
288,10,18,33
137,16,46,76
89,28,58,88
251,0,3,6
345,14,40,70
116,0,0,0
346,23,52,82
339,11,37,65
316,7,13,43
6,6,6,6
150,11,32,62
156,18,48,66
73,22,43,73
328,3,27,57
2,0,0,2
260,18,48,78
111,17,23,23
62,6,32,62
86,26,56,86
70,16,43,70
165,15,45,75
257,8,12,12
328,7,23,53
127,10,23,46
356,21,51,81
327,18,27,52
57,11,27,57
17,17,17,17
337,2,32,62
175,29,59,89
50,4,20,50
318,10,28,58
159,30,49,69
321,23,40,46
339,13,34,64
8,0,0,7
179,29,59,89
67,8,37,67
65,12,40,65
151,30,59,59
150,0,30,60
56,11,33,56
86,3,3,3
144,6,26,47
261,11,20,22
163,1,1,1
341,10,40,66
324,13,37,61
136,6,17,47
245,0,0,0
333,11,36,62
59,0,29,59
348,13,43,73
2,1,2,2
80,20,50,80
128,13,37,67
306,29,30,31
130,17,24,48
301,12,12,26
321,15,45,75
89,30,60,89
156,19,49,67
114,2,6,6
115,10,10,31
341,15,45,75
274,10,24,47
321,9,39,69
119,11,32,62
78,25,48,78
74,16,44,74
156,10,16,37
