prop_name,prop_type,street,zipcode,bathroom,bedroom
Mid-century Seacliff near GG Bridge,House,"San Francisco, CA 94121, United States",94121,2.5,3
Charming Studio Apt at Ocean Beach,House,"47th Avenue, San Francisco, CA 94121, United States",94121,1,1
Spacious 3 beds in convenient/safe neighborhood,Apartment,"29th Avenue, San Francisco, CA 94121, United States",94121,2,3
Cozy Rendezvous,House,"Lake Street, San Francisco, CA 94121, United States",94121,1,1
Best Master Suite in Town,House,"44th Avenue, San Francisco, CA 94121, United States",94121,1,1
Cozy apartment in beautiful SF :),Apartment,"32nd Avenue, San Francisco, CA 94121, United States",94121,1,1
Great Room!,House,"27th Avenue, San Francisco, CA 94121, United States",94121,1,1
Ocean Beach hilltop cottage,House,"42nd Avenue, San Francisco, CA 94121, United States",94121,1,0
Best Secret in Town,House,"44th Avenue, San Francisco, CA 94121, United States",94121,1,1
Charming house with view of Golden Gate Bridge,House,"25th Avenue, San Francisco, CA 94121, United States",94121,2,2
Huge Seacliff Penthouse With Views,Condominium,"El Camino Del Mar, San Francisco, CA 94121, United States",94121,2,3
The Real San Francisco #2,Apartment,"33rd Avenue, San Francisco, CA 94121, United States",94121,2.5,3
Blocks from GG Park & Ocean Beach,Apartment,"Geary Boulevard, San Francisco, CA 94121, United States",94121,1,1
comfy oceanside nest,House,"Sea Cliff, San Francisco, CA, United States",,1,1
STUNNING HOUSE BY OCEAN BEACH -Long term 30+ days!,House,"Seal Rock Drive, San Francisco, CA 94121, United States",94121,1,2
Ocean and park front panoramic view,Apartment,"El Camino Del Mar, San Francisco, CA 94121, United States",94121,1,0
Garden of Eden,House,"Lake Street, San Francisco, CA 94121, United States",94121,1,1
Charming & Private Ideal location,Apartment,"Geary Boulevard, San Francisco, CA 94121, United States",94121,1,1
Panorama Pacific View - Pet Friendly,Apartment,"Sutro Heights Ave, San Francisco, CA 94121, United States",94121,2,3
Spacious 1bd with balcony,House,"27th Avenue, San Francisco, CA 94121, United States",94121,1,1
One Bedroom for Rent in Quiet Neighborhood,Apartment,"Waller Street, San Francisco, CA 94117, United States",94117,1,1
Charming Victorian with backyard!,Condominium,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,1
"Gorgeous, bright, NOPA flat, views",Apartment,"Divisadero Street, San Francisco, CA 94117, United States",94117,1,1
9BR Super Bowl Party Mansion,Townhouse,"Fell Street, San Francisco, CA 94117, United States",94117,4,9
Inviting NOPA Flat,Condominium,"Hayes Street, San Francisco, CA 94117, United States",94117,1,2
Sunny Edwardian 2-Bedroom Apartment,Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,2
The Carriage House,Bungalow,"Page Street, San Francisco, CA 94117, United States",94117,1,0
Quiet Room with View - Duboce Park,Apartment,"Divisadero Street, San Francisco, CA 94117, United States",94117,1,1
Spacious flat near Haight/Ashbury,Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,1,2
Jewel Box Studio in Hip NoPa,Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,0
Cozy Bedroom,House,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Heart of Cole Valley/Ashbury Height,Apartment,"Stanyan Street, San Francisco, CA 94117, United States",94117,1,1
Haight Ashbury Castle,Apartment,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Bungalow on top of San Francisco,Apartment,"Buena Vista Ave E, San Francisco, CA 94117, United States",94117,1,1
San Francisco Best Views ,Apartment,"Buena Vista Avenue East, San Francisco, CA 94117, United States",94117,2,1
Top Shelf Living @Panhandle Park,Apartment,"Fulton St, San Francisco, CA 94117, United States",94117,1,1
"Serene, soaring views, near Haight",Condominium,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,1
Private Room with Comfy Queen Bed in Central SF,Apartment,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Stylish NOPA Pad,Apartment,"Baker Street, San Francisco, CA 94117, United States",94117,1,1
Unbelievable View 2/2 executive apartment,Apartment,"San Francisco, CA, United States",,2,2
Cute and modern studio in Haight,Apartment,"Java Street, San Francisco, CA 94117, United States",94117,1,1
Elegant Queen Ann Victorian,Apartment,"Lyon St, San Francisco, CA 94117, United States",94117,1,1
EXPERIENCE SAN FRANCISCO IN STYLE!,House,"Waller St, San Francisco, CA 94117, United States",94117,1,1
Nice & Quiet Room in Haight Ashbury,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,1,1
"Cozy Vintage Flat, Golden Gate Park",Apartment,"Cole St, San Francisco, CA 94117, United States",94117,1,1
1BR in NOPA near Haight & Alamo Sq,Apartment,"Lyon Street, San Francisco, CA 94117, United States",94117,1,1
Grand Edwardian Flat in Trendy NOPA,Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,2,3
Cosy big room in gorgeous Victorian building,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,1.5,1
Haight/Castro + Big Deck with View,Apartment,"Alpine Terrace, San Francisco, CA 94117, United States",94117,1,1
Cole Valley Charm!,Apartment,"Carl Street, San Francisco, CA 94117, United States",94117,2.5,1
Blue House Grotto,Apartment,"San Francisco, CA, United States",,1,1
Sunny 2 bedroom close to Panhandle,Apartment,"Hayes St, San Francisco, CA 94117, United States",94117,1.5,2
"13' Ceilings, Victorian Flat NOPA",Apartment,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Victorian Garden / City Living,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1,1
Beautiful Cole Valley/Haight Flat.,Bed & Breakfast,"Cole St, San Francisco, CA 94117, United States",94117,1.5,1
Beautiful Victorian Private room in upper Haight,House,"Frederick Street, San Francisco, CA 94117, United States",94117,1.5,1
Prime Location on Panhandle!! (Extra Futon incl.),Apartment,"Baker Street, San Francisco, CA 94117, United States",94117,1,1
Private room in Haight Ashubry,Apartment,"Shrader Street, San Francisco, CA 94117, United States",94117,1,1
Zazie,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1,1
Garden Retreat steps from Haight St,House,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,1
Amazing flat in Haight Ashbury,House,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,1
Private Room in Chic Nopa Flat,Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,2,1
QUIET LUXURY COLE VALLEY PARKING,Apartment,"17th St, San Francisco, CA 94117, United States",94117,1,2
"Alamo Square, walk to everything SF",Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,1
Small room with Airbed in Haight SF,Condominium,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,1
Stunning 3BR 2BA w/ parking & deck,Apartment,"Downey Street, San Francisco, CA 94117, United States",94117,2,3
Top Floor 2 BD Flat San Francisco,House,"Parnassus Avenue, San Francisco, CA 94117, United States",94117,2,2
Alamo Square Studio,Apartment,"Hayes Street, San Francisco, CA 94117, United States",94117,1,1
Castro/Haight San Francisco,Apartment,"Oak St, San Francisco, CA 94117, United States",94117,1,1
Edwardian 3BR/3BA Apartment,Apartment,"Clayton Street, San Francisco, CA 94117, United States",94117,3,3
HOLIDAY SPECIAL-Large NOPA studio,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,1,0
Beautiful& Warm Apt + Amazing View,Apartment,"Buena Vista Ave E, San Francisco, CA 94117, United States",94117,1,1
Private Quiet Room,House,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,1
Fabulous Designer Cole Valley Flat,Apartment,"Carl Street, San Francisco, CA 94117, United States",94117,1,2
"Bright and updated. Haight Ashbury ""H""",Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,2,1
"Spacious room by Haight Ashbury ""G""",Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,2,1
Great Haight/Ashbury 2-br Victorian flat.,Apartment,"Waller Street, San Francisco, CA 94117, United States",94117,1,2
700sqft Studio Deck Private Entranc,Apartment,"Belvedere Street, San Francisco, CA 94117, United States",94117,1,0
Shared Room in Alamo Square,Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,1,1
big 2 bed 1.5 ba w private patio,Apartment,"Broderick Street, San Francisco, CA 94117, United States",94117,1.5,2
Entire 2BR w/pkg centrally-located!,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,1,2
Stunning Centrally Located 4bdr Hse,House,"Clayton St, San Francisco, CA 94117, United States",94117,2,4
Cozy apartment next to Alamo Sqaure,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,1,1
Designer luxury home at entry to Golden Gate Park,Condominium,"Fell Street, San Francisco, CA 94117, United States",94117,2,2
Spacious and Sunny Room in the Heart of the Haight,Apartment,"Haight Street, San Francisco, CA 94117, United States",94117,1.5,1
Sunny 1BR Apt in Haight-Ashbury,Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,1
Cute 3 Bedroom/2Bath in Haight - up to 7 ppl!,Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,2,3
Modern Cole Valley studio,Apartment,"Delmar Street, San Francisco, CA 94117, United States",94117,1,1
Large and luxurious near Haight and Ashbury,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,3,3
Flat & Garden in Historic Victorian,House,"Frederick Street, San Francisco, CA 94117, United States",94117,1,2
Cozy 1BR apt near Golden Gate Park,Apartment,"Parnassus Avenue, San Francisco, CA 94117, United States",94117,1,1
Garden 1 Bed Apt. in Haight-Ashbury,Apartment,"Waller Street, San Francisco, CA 94117, United States",94117,1,1
Cozy Victorian Modern 1 bd in Cole Valley SF,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1,1
Private Studio at a great price!,Apartment,"Clayton Street, San Francisco, CA 94117, United States",94117,1,0
Fun bedroom in great area!,Apartment,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,1
First Floor Master Bedroom with Private Entrance,Apartment,"Stanyan Street, San Francisco, CA 94117, United States",94117,1,1
"Cozy Blue Room: Haight, Central SF!",Apartment,"Clayton Street, San Francisco, CA 94117, United States",94117,1.5,1
"All Updated room close to GG Park ""O""",Apartment,"Fulton Street, San Francisco, CA 94117, United States",94117,2,1
"Beautiful, spacious Alamo Square/NoPa apartment",Apartment,"Broderick Street, San Francisco, CA 94117, United States",94117,1,1
"Central SF, Secluded 2BR Garden Apt",Apartment,"Shrader Street, San Francisco, CA 94117, United States",94117,1,2
Apt. in ex-b&b in the ❤️ of S.F.,House,"Belvedere Street, San Francisco, CA 94117, United States",94117,2,2
Stunning Views2 near Haight&Castro!,Apartment,"Upper Terrace, San Francisco, CA 94117, United States",94117,1,1
Beautiful room in Haight Victorian,House,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,1
Charming Studio in Haight Ashbury,Apartment,"Buena Vista Avenue East, San Francisco, CA 94117, United States",94117,1,1
Beautiful Home on Golden Gate Park!,Condominium,"Fell Street, San Francisco, CA 94117, United States",94117,1,1
Spacious and sunny room,House,"Clayton Street, San Francisco, CA 94117, United States",94117,1.5,1
A window into Nopa and Alamo Square,House,"A Broderick Street, San Francisco, CA 94117, United States",94117,1,1
Darling View Artist's Cottage in SF,Bungalow,"Buena Vista Ave E, San Francisco, CA 94117, United States",94117,1,1
Hip 2 Bd Rm in Historic Haight,Apartment,"Ashbury Street, San Francisco, CA 94117, United States",94117,1.5,2
Private in the Heart of the Haight,Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,1
NOPA Edwardian near Haight/Ashbury,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,2,2
Spacious Room in Victorian Mansion,House,"Fell Street, San Francisco, CA 94117, United States",94117,1,1
Spacious Cole Valley family home,House,"Clayton Street, San Francisco, CA 94117, United States",94117,3,4
BEAUTIFUL 3 BR Apt in Cole Valley,Apartment,"Belvedere Street, San Francisco, CA 94117, United States",94117,1,1
Spacious NOPA Condo,Condominium,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,2
Sunny room in the Panhandle,Apartment,"Oak Street, San Francisco, CA 94117, United States",94117,1.5,1
Spacious Haight-Ashbury Room,Apartment,"Haight Street, San Francisco, CA 94117, United States",94117,0.5,1
"Bright, top floor, quiet one bed",Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,1,1
Modern Victorian 2-Bedroom in heart of NOPA,Apartment,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,2
Friendly Hotel Apartment Style,House,"Carl St, San Francisco, CA 94117, United States",94117,4,1
Bohemian Victorian Writer's Flat,Apartment,"Waller Street, San Francisco, CA 94117, United States",94117,1,2
Cozy Room in the heart of the city,Apartment,"Belvedere Street, San Francisco, CA 94117, United States",94117,1,1
Great Home 15 min to Union Square,Apartment,"Carl Street, San Francisco, CA 94117, United States",94117,1,1
Huge Pad! Cole Valley-Upper Haight,Apartment,"Waller Street, San Francisco, CA 94117, United States",94117,2,4
Ashbury Heights Studio with Deck,Apartment,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1,0
Modern room with view of Alamo Sq,Apartment,"Broderick St, San Francisco, CA 94117, United States",94117,1,1
2 BR Cole Valley Flat,Apartment,"Cole Street, San Francisco, CA 94117, United States",94117,1,2
Haight Ashbury Experience Room 1,House,"Clayton St, San Francisco, CA 94117, United States",94117,2,1
Panhandle View,Apartment,"Fell Street, San Francisco, CA 94117, United States",94117,0.5,1
Haight / Ashbury Heights View Apt.,Apartment,"Downey Street, San Francisco, CA 94117, United States",94117,1,1
Spacious Bright Apartment in NOPA,Apartment,"Grove Street, San Francisco, CA 94117, United States",94117,1,1
Vibrant and Cozy Cole Valley Studio,Apartment,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,0
Your SF Home with Deck Near Parks,Apartment,"Baker Street, San Francisco, CA 94117, United States",94117,1,1
Grand Modern Gallery Home,House,"Parnassus Avenue, San Francisco, CA 94117, United States",94117,4.5,4
Ashbury Heights Elegant Flat,Condominium,"Masonic Avenue, San Francisco, CA 94117, United States",94117,1.5,1
Vintage Modern Victorian Apartment,Apartment,"Belvedere Street, San Francisco, CA 94117, United States",94117,1,1
700sqft Walk Out Patio in Haight,Apartment,"Ashbury Street, San Francisco, CA 94117, United States",94117,1,1
Huge Charming Victorian Room!,House,"Central Avenue, San Francisco, CA 94117, United States",94117,1,1
Luxury Apartment - great place in Centre City,House,"Haight Street, San Francisco, CA 94117, United States",94117,1,1
Sunny/Sunset view room,House,"Ashbury St, San Francisco, CA 94117, United States",94117,,1
Cole Valley Sunny Room & Private Bath,House,"Clayton Street, San Francisco, CA 94117, United States",94117,1,1
Emergency happy Weekly room-sink/tv,House,"Carl St, San Francisco, CA 94117, United States",94117,4,1
In the Heart of Haight/Ashbury # 6,Apartment,"Page Street, San Francisco, CA 94117, United States",94117,1,1
1 bdrm in beautiful Victorian home,House,"Beulah Street, San Francisco, CA 94117, United States",94117,1,1
Charming Golden Gate Park Home,Apartment,"Oak Street, San Francisco, CA 94117, United States",94117,1,1
Studio in front Golden Gate Park,Apartment,"San Francisco, CA 94117, United States",94117,1,1
Beautiful NoPa One Bedroom Apt,Apartment,"Divisadero Street, San Francisco, CA 94117, United States",94117,1,1
Cole Valley Central Studio,Apartment,"Grattan Street, San Francisco, CA 94117, United States",94117,1,0
