number_of_reviews,reviews_score_rating,reviews_per_month
0,,
270,98,6.62
2,100,1.62
5,92,1.69
4,100,0.82
228,92,6.39
39,90,2.11
6,80,0.63
19,98,2.46
44,96,1.24
52,98,3.77
5,95,0.51
2,100,0.71
90,96,3.14
5,90,0.08
1,100,0.21
4,100,0.37
28,97,0.99
13,100,2.17
125,96,8.47
1,100,0.1
179,98,4.81
1,100,1
11,100,0.38
9,98,0.17
1,100,0.03
4,95,0.1
22,98,0.99
2,90,1.15
2,90,1.62
229,95,3.98
26,99,0.48
2,90,0.12
7,83,0.57
15,100,0.41
26,95,1.85
1,100,0.11
4,100,0.24
9,100,3.75
120,92,2.71
36,99,0.56
1,100,0.83
10,90,0.33
149,95,4.63
101,99,2.04
15,95,3.04
2,100,0.07
48,93,4.35
32,97,3.36
124,95,1.58
3,93,0.18
74,99,3.87
83,95,2.16
7,97,0.5
5,88,0.12
6,67,0.65
8,86,0.93
4,100,0.08
2,100,0.15
1,100,0.34
4,87,0.13
22,87,0.66
22,95,0.51
19,100,5.43
2,90,2
112,95,3.13
99,88,4.47
77,96,4.93
14,97,4.16
9,100,0.31
33,91,0.6
19,96,1.53
4,100,2.67
4,90,4
3,93,0.64
69,94,1.95
16,86,2.36
103,83,3.27
21,97,1.06
34,99,0.87
89,98,2.18
3,100,0.62
10,92,1.82
30,95,1.07
4,95,0.08
1,100,0.88
91,91,1.43
23,84,0.82
1,100,0.07
6,93,0.21
1,80,0.07
2,40,0.12
49,93,1.18
13,100,0.92
47,99,1.75
21,94,0.69
223,91,3.45
11,91,0.42
3,100,0.66
1,100,0.59
29,99,1.8
69,99,1.86
22,95,0.53
5,64,0.11
4,100,1.13
8,90,0.15
101,88,2.35
2,100,0.13
26,100,2.04
19,100,0.7
47,92,1.65
376,89,8.16
83,98,2.62
84,88,3.33
62,95,2
11,95,0.57
4,95,0.61
7,65,0.09
8,98,0.43
5,100,0.3
18,99,1.53
75,97,1.16
4,95,0.23
56,90,3.42
155,86,3.59
57,92,3.64
8,95,1
15,91,0.69
75,99,3.7
71,99,2
5,73,0.41
27,98,0.55
15,85,1.81
17,82,1.82
21,98,4.6
24,95,2.17
8,88,0.2
3,87,0.58
2,80,0.15
69,98,1.96
196,84,4.59
101,94,3.7
74,90,1.76
13,100,0.84
8,95,0.8
7,89,0.39
247,94,5.16
7,94,0.24
16,95,0.54
149,96,4.85
1,20,0.05
3,100,0.63
23,97,4.69
77,98,4.83
45,98,1.23
17,85,0.19
104,92,2.34
28,94,0.54
9,93,2.93
7,100,0.91
228,92,3.53
2,80,0.39
26,98,1.49
27,99,1.22
127,97,2.79
10,96,0.37
10,96,3.03
71,96,2.96
91,99,6.61
94,92,2.01
7,97,0.53
47,93,0.89
53,92,5.68
15,99,0.52
87,100,2.82
13,83,3.25
52,94,3.28
5,75,0.08
11,91,1.9
4,95,0.2
4,80,0.14
16,96,1.4
235,89,5.21
7,94,0.25
4,100,0.2
19,96,1.73
6,97,0.35
4,90,0.41
172,98,4.62
6,93,0.33
99,95,6.11
14,97,4.24
115,86,2.68
11,89,0.27
238,88,3.69
7,100,2.76
9,93,1.16
34,94,1.15
3,100,0.34
1,100,0.01
7,100,0.4
40,96,1.7
6,87,1.08
1,100,0.13
10,100,1.3
20,98,1
16,100,1.52
9,96,0.59
2,100,0.25
1,60,1
10,88,0.73
32,95,2.91
18,99,1.67
165,96,3.4
27,94,1.31
11,84,0.37
34,99,1.38
6,97,0.58
82,94,1.32
3,100,0.5
16,100,2.94
12,98,0.22
32,99,2.38
11,100,0.94
1,100,0.16
42,92,1.04
2,90,0.83
25,90,3.68
4,67,0.24
1,80,0.06
20,95,0.77
20,93,2.78
4,100,0.14
12,97,2.4
72,94,1.12
7,97,0.64
7,97,0.38
6,100,0.09
16,98,1.66
3,100,0.1
234,98,4.47
12,100,0.94
8,88,0.4
20,98,1.97
2,80,0.71
3,80,0.39
7,100,0.24
50,91,3.23
10,91,1.38
22,87,1.94
5,100,1.3
11,93,0.64
19,98,0.65
42,98,1.06
115,99,1.54
18,98,1.04
58,97,3.49
2,100,0.35
2,80,0.26
16,100,0.34
33,92,0.79
4,100,0.3
1,100,0.4
2,100,0.14
7,89,0.87
1,,0.17
171,78,3.76
14,96,0.79
54,100,6.56
11,73,1.66
1,80,0.18
21,99,2.18
5,100,0.12
75,98,2.16
66,95,4.06
3,100,0.33
71,84,1.71
7,90,0.28
49,95,1.17
1,,0.15
2,90,0.26
4,53,0.53
9,100,0.82
2,100,0.19
9,91,0.64
28,97,0.42
16,99,0.65
157,98,3.7
1,100,0.05
4,95,0.07
237,96,3.61
8,88,1.05
1,,0.16
23,99,0.79
8,98,0.19
6,100,0.3
52,98,4.63
31,97,1.01
6,92,0.66
8,93,0.62
56,90,1.19
1,100,0.06
72,98,1.74
247,87,3.83
4,93,0.66
105,95,1.78
3,70,0.2
13,78,0.2
54,93,2.31
5,100,0.33
146,97,2.23
20,99,0.96
137,90,2.48
109,96,7.05
5,100,0.76
5,100,0.87
1,100,0.33
30,94,0.85
5,96,0.28
8,75,1.13
77,99,1.53
17,99,2.24
9,91,1.12
20,100,1.07
2,90,0.7
17,88,1.55
78,92,2.61
15,89,1.88
1,,0.08
48,100,2.24
10,96,0.55
11,92,0.32
163,97,3.82
1,100,0.43
2,80,0.07
30,98,0.85
1,100,0.18
15,95,1.23
6,100,1.13
8,91,0.22
3,93,0.43
6,100,0.36
153,78,3.46
5,85,0.6
79,98,4.3
4,95,0.22
44,94,1.4
29,94,0.96
71,87,5.06
9,91,2.5
3,100,0.85
15,91,0.76
2,100,0.17
31,97,5.85
7,89,0.44
59,89,7
3,98,0.1
4,73,1.56
19,99,0.37
28,89,1.26
29,93,1.05
31,94,0.79
24,98,1.99
213,97,4.05
229,97,3.79
2,100,0.11
194,93,5.3
30,94,0.77
10,92,2.75
1,100,0.08
126,97,3.65
161,91,7.93
24,96,3.48
5,100,5
3,93,0.61
15,100,0.91
125,98,3.56
48,99,1.7
3,73,0.19
5,100,0.31
12,92,1.9
